,name,size,format,mode,category,sample
0,0001.jpg,"(224, 224)",JPEG,RGB,Bean,test
1,0002.jpg,"(224, 224)",JPEG,RGB,Bean,test
2,0003.jpg,"(224, 224)",JPEG,RGB,Bean,test
3,0004.jpg,"(224, 224)",JPEG,RGB,Bean,test
4,0005.jpg,"(224, 224)",JPEG,RGB,Bean,test
5,0006.jpg,"(224, 224)",JPEG,RGB,Bean,test
6,0007.jpg,"(224, 224)",JPEG,RGB,Bean,test
7,0008.jpg,"(224, 224)",JPEG,RGB,Bean,test
8,0009.jpg,"(224, 224)",JPEG,RGB,Bean,test
9,0010.jpg,"(224, 224)",JPEG,RGB,Bean,test
10,0011.jpg,"(224, 224)",JPEG,RGB,Bean,test
11,0012.jpg,"(224, 224)",JPEG,RGB,Bean,test
12,0013.jpg,"(224, 224)",JPEG,RGB,Bean,test
13,0014.jpg,"(224, 224)",JPEG,RGB,Bean,test
14,0015.jpg,"(224, 224)",JPEG,RGB,Bean,test
15,0016.jpg,"(224, 224)",JPEG,RGB,Bean,test
16,0017.jpg,"(224, 224)",JPEG,RGB,Bean,test
17,0018.jpg,"(224, 224)",JPEG,RGB,Bean,test
18,0019.jpg,"(224, 224)",JPEG,RGB,Bean,test
19,0020.jpg,"(224, 224)",JPEG,RGB,Bean,test
20,0021.jpg,"(224, 224)",JPEG,RGB,Bean,test
21,0022.jpg,"(224, 224)",JPEG,RGB,Bean,test
22,0100.jpg,"(224, 224)",JPEG,RGB,Bean,test
23,0101.jpg,"(224, 224)",JPEG,RGB,Bean,test
24,0102.jpg,"(224, 224)",JPEG,RGB,Bean,test
25,0103.jpg,"(224, 224)",JPEG,RGB,Bean,test
26,0104.jpg,"(224, 224)",JPEG,RGB,Bean,test
27,0105.jpg,"(224, 224)",JPEG,RGB,Bean,test
28,0106.jpg,"(224, 224)",JPEG,RGB,Bean,test
29,0107.jpg,"(224, 224)",JPEG,RGB,Bean,test
30,0108.jpg,"(224, 224)",JPEG,RGB,Bean,test
31,0109.jpg,"(224, 224)",JPEG,RGB,Bean,test
32,0110.jpg,"(224, 224)",JPEG,RGB,Bean,test
33,0111.jpg,"(224, 224)",JPEG,RGB,Bean,test
34,0112.jpg,"(224, 224)",JPEG,RGB,Bean,test
35,0113.jpg,"(224, 224)",JPEG,RGB,Bean,test
36,0114.jpg,"(224, 224)",JPEG,RGB,Bean,test
37,0115.jpg,"(224, 224)",JPEG,RGB,Bean,test
38,0116.jpg,"(224, 224)",JPEG,RGB,Bean,test
39,0117.jpg,"(224, 224)",JPEG,RGB,Bean,test
40,0118.jpg,"(224, 224)",JPEG,RGB,Bean,test
41,0119.jpg,"(224, 224)",JPEG,RGB,Bean,test
42,0120.jpg,"(224, 224)",JPEG,RGB,Bean,test
43,0121.jpg,"(224, 224)",JPEG,RGB,Bean,test
44,0122.jpg,"(224, 224)",JPEG,RGB,Bean,test
45,0123.jpg,"(224, 224)",JPEG,RGB,Bean,test
46,0124.jpg,"(224, 224)",JPEG,RGB,Bean,test
47,0125.jpg,"(224, 224)",JPEG,RGB,Bean,test
48,0126.jpg,"(224, 224)",JPEG,RGB,Bean,test
49,0127.jpg,"(224, 224)",JPEG,RGB,Bean,test
50,0128.jpg,"(224, 224)",JPEG,RGB,Bean,test
51,0129.jpg,"(224, 224)",JPEG,RGB,Bean,test
52,0130.jpg,"(224, 224)",JPEG,RGB,Bean,test
53,0131.jpg,"(224, 224)",JPEG,RGB,Bean,test
54,0132.jpg,"(224, 224)",JPEG,RGB,Bean,test
55,0133.jpg,"(224, 224)",JPEG,RGB,Bean,test
56,0134.jpg,"(224, 224)",JPEG,RGB,Bean,test
57,0135.jpg,"(224, 224)",JPEG,RGB,Bean,test
58,0136.jpg,"(224, 224)",JPEG,RGB,Bean,test
59,0137.jpg,"(224, 224)",JPEG,RGB,Bean,test
60,0138.jpg,"(224, 224)",JPEG,RGB,Bean,test
61,0139.jpg,"(224, 224)",JPEG,RGB,Bean,test
62,0140.jpg,"(224, 224)",JPEG,RGB,Bean,test
63,0141.jpg,"(224, 224)",JPEG,RGB,Bean,test
64,0142.jpg,"(224, 224)",JPEG,RGB,Bean,test
65,0143.jpg,"(224, 224)",JPEG,RGB,Bean,test
66,0144.jpg,"(224, 224)",JPEG,RGB,Bean,test
67,0145.jpg,"(224, 224)",JPEG,RGB,Bean,test
68,0146.jpg,"(224, 224)",JPEG,RGB,Bean,test
69,0147.jpg,"(224, 224)",JPEG,RGB,Bean,test
